Timestamp,Version,Random,SessionID,CipherSuite,CompressionMethod,NextProtoNeg,NextProtos,OCSPStapling,TicketSupported,SecureRenegotiationSupported,SecureRenegotiation,AlpnProtocol,Ems,SupportedVersion,SelectedIdentityPresent,SelectedIdentity,Cookie,SelectedGroup,Extensions,SrcIP,DstIP,SrcMAC,DstMAC,SrcPort,DstPort,Ja3S
1514905509.511223,771,5a4b9f9fa0f92ae24a6be3b02a28807ab81d0b58a2bbff08a739b06327a63325,996458f6ce48a2db6f6c75e0a0ced7d0c1b3ed7f3c663448171489702c8a30ee,49171,0,false,(),false,false,true,,,false,0,false,0,,0,(65281-11),172.217.28.144,10.1.2.101,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,443,49176,042b018de1d862323f09d5767e4068d5
1514905510.993980,771,8e015ff30eb003b01a54e4e817a713cdf3fede62074e4aa179fcd42c28a60144,0fb33cf11054074c6878386a29687554461d87ab69483fc3cc984439b5c52e9b,49191,0,false,(),false,false,true,,,false,0,false,0,,0,(0-65281-11),185.189.56.84,10.1.2.101,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,443,49178,0a1e44e4181198b5d2075f68539bf09e
1515516261.649666,771,5a54f165a263bc438104f3bd2b9e5f02b67295f3efba9f8ef6fa544f30c27399,,49195,0,false,(),false,true,true,,h2,false,0,false,0,,0,(65281-23-35-18-16-11),172.217.4.131,10.1.9.102,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,443,49232,2157c9e56433c78142661ce68e17a9ab
1515516777.526280,771,5a54f36a79c820056faa723e49158be2561934968040ffd8ac657542849796ec,,49195,0,false,(),false,true,true,,h2,false,0,false,0,,0,(65281-23-35-18-16-11),172.217.11.68,10.1.9.102,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,443,49288,2157c9e56433c78142661ce68e17a9ab
1515516832.536154,771,5a54f3a1cf832b3a8168d7f54f6e5f1415dd87332605652435c7a71d084bc272,,49195,0,false,(),false,true,true,,h2,false,0,false,0,,0,(65281-23-35-18-16-11),216.58.193.195,10.1.9.102,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,443,49293,2157c9e56433c78142661ce68e17a9ab
1516901447.839705,769,3334248f4c90bd00d1c24db739535d45528a3236dcb6c7b27e4dab5a08ad601c,21a372794ed5bda00368de44ea3065d217da8b8270c3adb19ea7a21dad754eab,47,0,false,(),true,false,true,,,false,0,false,0,,0,(0-65281-5),212.53.86.219,10.1.25.101,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,443,49289,592794ccae1a18fc436257f96bc46093
1516901491.696193,769,aabb546cae290ad12444d1224fa905ba07b8f4f61a081117950e1e8b079f40be,afbccb27d4f808a43885c305828bb65c19afbefb68148da351b7d14e7f9a3676,47,0,false,(),true,false,true,,,false,0,false,0,,0,(0-65281-5),43.245.53.30,10.1.25.101,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,443,49291,592794ccae1a18fc436257f96bc46093
1516901810.190591,769,5a6a15b39ceb552d447d5cbc813a50d8220326fa1ec0bcf0ac1e4bcef95dbf4b,134fa2d5f0f3d263db4429cf101acc3999acc199292c1058b3c2cde4d3c84a98,47,0,false,(),false,false,true,,,false,0,false,0,,0,(65281),185.86.151.98,10.1.25.101,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,443,49293,4192c0a946c5bd9b544b4656d9f624a4
1516901940.553002,769,5a6a0841781d78f9cf9f2558bfde247bf95509f894ab2446f63aff5ee42878cf,78324575adf105eef3b8975d22d9e867197ec45bc8dacd5e6f078225baef32ac,47,0,false,(),false,false,true,,,false,0,false,0,,0,(65281),91.219.236.245,10.1.25.101,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,443,49294,4192c0a946c5bd9b544b4656d9f624a4
1516902118.624527,769,5a6a16e7db44de4b114b9abfd573b1f848a96b46ba3da016257dbea5459dbd63,6c8a762449db7bc3665c3ded7a48abb426ed90bee81ef11d86ae6ec4a725fbbc,47,0,false,(),false,false,true,,,false,0,false,0,,0,(65281),104.131.33.184,10.1.25.101,20:e5:2a:b6:93:f1,00:08:02:1c:47:ae,4143,49295,4192c0a946c5bd9b544b4656d9f624a4
